13:37:57-Joeyramone-2017-06-19-13:39:35.png$[{"faceRectangle":{"height":155,"left":184,"top":98,"width":155},"scores":{"anger":0.004047679,"contempt":0.0205408968,"disgust":0.00154033955,"fear":0.000293223769,"happiness":0.0164034367,"neutral":0.9386648,"sadness":0.0117434962,"surprise":0.0067661535}}]
13:37:59-Joeyramone-2017-06-19-13:39:42.png$[{"faceRectangle":{"height":173,"left":118,"top":69,"width":173},"scores":{"anger":1.1989071E-05,"contempt":0.011219536,"disgust":9.772255E-05,"fear":9.33435047E-07,"happiness":0.470830768,"neutral":0.516401231,"sadness":0.0013808012,"surprise":5.70598E-05}}]
13:38:01-Joeyramone-2017-06-19-13:40:55.png$[{"faceRectangle":{"height":192,"left":255,"top":56,"width":192},"scores":{"anger":4.95502245E-05,"contempt":0.00302875112,"disgust":3.756161E-05,"fear":1.26332577E-06,"happiness":0.00207266654,"neutral":0.9884764,"sadness":0.006253511,"surprise":8.03137445E-05}}]
13:38:03-Joeyramone-2017-06-19-14:03:35.png$[{"faceRectangle":{"height":179,"left":253,"top":65,"width":179},"scores":{"anger":0.0001675735,"contempt":0.009349838,"disgust":9.835292E-05,"fear":6.43097474E-06,"happiness":0.0193045586,"neutral":0.964545667,"sadness":0.006410374,"surprise":0.000117198884}}]
13:38:05-Joeyramone-2017-06-19-13:40:29.png$[{"faceRectangle":{"height":216,"left":120,"top":17,"width":216},"scores":{"anger":9.211444E-06,"contempt":0.000853206438,"disgust":5.54953249E-06,"fear":2.17538357E-07,"happiness":0.009305989,"neutral":0.989455163,"sadness":0.000344991,"surprise":2.56453168E-05}}]
13:38:09-Joeyramone-2017-06-19-13:39:47.png$[{"faceRectangle":{"height":183,"left":214,"top":64,"width":183},"scores":{"anger":8.301241E-05,"contempt":0.0120266844,"disgust":5.65861228E-05,"fear":4.94685253E-07,"happiness":0.0134620052,"neutral":0.972765267,"sadness":0.00157962018,"surprise":2.6348338E-05}}]
13:38:11-Joeyramone-2017-06-19-13:40:34.png$[{"faceRectangle":{"height":177,"left":157,"top":80,"width":177},"scores":{"anger":0.0002450596,"contempt":0.0318457559,"disgust":0.000465769321,"fear":6.28946E-06,"happiness":0.253512919,"neutral":0.70731,"sadness":0.006449799,"surprise":0.000164373734}}]
13:38:15-Joeyramone-2017-06-19-13:40:42.png$[{"faceRectangle":{"height":191,"left":156,"top":77,"width":191},"scores":{"anger":0.000176333124,"contempt":0.001976187,"disgust":0.00018023813,"fear":2.49920922E-05,"happiness":0.000277479732,"neutral":0.9705489,"sadness":0.0260928012,"surprise":0.0007230464}}]
13:38:17-Joeyramone-2017-06-19-13:40:47.png$[{"faceRectangle":{"height":192,"left":167,"top":71,"width":192},"scores":{"anger":6.01291067E-05,"contempt":0.0003740103,"disgust":0.000106182422,"fear":7.68589E-06,"happiness":2.99184976E-05,"neutral":0.9190244,"sadness":0.08016351,"surprise":0.000234142979}}]
13:38:19-Joeyramone-2017-06-19-13:39:51.png$[{"faceRectangle":{"height":219,"left":183,"top":24,"width":219},"scores":{"anger":0.000199641348,"contempt":0.0011642162,"disgust":6.717458E-05,"fear":3.17691738E-05,"happiness":0.000324091321,"neutral":0.9897075,"sadness":0.007958175,"surprise":0.0005474314}}]
