3/6/2017-10:36:17;1;Brendo ;1496500577637;click;questionario.html#;D:20:H:1-2 btn btn-info btn-lg;button;291;472
3/6/2017-10:36:33;1;Brendo ;1496500594028;click;questionario.html#;D:20:H:1-2 btn btn-default ;button;959;364
3/6/2017-10:36:59;1;Brendo ;1496500619390;click;questionario.html#;;label;354;423
3/6/2017-10:36:59;1;Brendo ;1496500619410;click;questionario.html#;Q:20:H:1-2:E;input;354;423
3/6/2017-10:37:3;1;Brendo ;1496500623873;click;questionario.html#;Q:21:H:1-2 list-group-item;a;117;469
3/6/2017-10:38:22;1;Brendo ;1496500701875;click;questionario.html#;D:21:H:1-2 btn btn-info btn-lg;button;296;464
3/6/2017-10:38:32;1;Brendo ;1496500712446;click;questionario.html#;D:21:H:1-2 close;button;998;189
3/6/2017-10:38:44;1;Brendo ;1496500724946;click;questionario.html#;;label;393;401
3/6/2017-10:38:44;1;Brendo ;1496500724964;click;questionario.html#;Q:21:H:1-2:D;input;393;401
3/6/2017-10:38:49;1;Brendo ;1496500729137;click;questionario.html#;Q:22:H:1-2 list-group-item;a;85;623
3/6/2017-10:40:17;1;Brendo ;1496500817908;click;questionario.html#;D:22:H:1-2 btn btn-info btn-lg;button;246;585
3/6/2017-10:40:48;1;Brendo ;1496500848893;click;questionario.html#;D:22:H:1-2 btn btn-default ;button;977;402
3/6/2017-10:41:20;1;Brendo ;1496500881087;click;questionario.html#;D:22:H:1-2 btn btn-info btn-lg;button;262;704
3/6/2017-10:41:32;1;Brendo ;1496500892192;click;questionario.html#;D:22:H:1-2 btn btn-default ;button;954;394
3/6/2017-10:41:57;1;Brendo ;1496500917651;click;questionario.html#;D:22:H:1-2 btn btn-info btn-lg;button;259;604
3/6/2017-10:42:17;1;Brendo ;1496500937150;click;questionario.html#;modal-header;div;1005;188
3/6/2017-10:42:18;1;Brendo ;1496500938942;click;questionario.html#;modal-header;div;1005;183
3/6/2017-10:42:19;1;Brendo ;1496500939660;click;questionario.html#;D:22:H:1-2 close;button;1001;186
3/6/2017-10:42:37;1;Brendo ;1496500957401;click;questionario.html#;;label;276;421
3/6/2017-10:42:37;1;Brendo ;1496500957418;click;questionario.html#;Q:22:H:1-2:B;input;276;421
3/6/2017-10:42:43;1;Brendo ;1496500963766;click;questionario.html#;Q:23:H:1-2 list-group-item;a;144;544
3/6/2017-10:43:37;1;Brendo ;1496501017864;click;questionario.html#;C:23:H:1-2 btn btn-info btn-lg;button;325;487
