photo,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,aluno
14:38:42-aluno21-2017-06-19-13:39:47.png,0.000124812272,0.86314404,0.003766703,1.150357e-05,5.439211e-06,0.000289266085,5.42854366e-07,0.1326577,aluno21
14:38:44-aluno21-2017-06-19-13:39:52.png,0.0005033349,0.9422553,0.00292318827,3.918935e-05,9.37705845e-05,0.0004372666,2.01562962e-05,0.0537277572,aluno21
14:38:46-aluno21-2017-06-19-13:39:51.png,0.0006479542,0.994172454,0.002272518,1.36273648e-05,0.000110218563,0.00137665181,3.33093049e-05,0.00137327926,aluno21
14:38:50-aluno21-2017-06-19-13:39:56.png,0.0155035667,0.9807676,0.00116957375,0.000455286354,0.000181499112,0.00163870817,3.10601972e-05,0.0002527148,aluno21
14:38:52-aluno21-2017-06-19-13:39:51.png,0.003638628,0.9948286,0.0005969552,2.195558e-06,3.942584e-05,0.0008577352,1.00141879e-05,2.64379742e-05,aluno21
14:38:54-aluno21-2017-06-19-13:40:02.png,0.00395760546,0.991323948,0.00157248613,5.6394174e-06,5.79967673e-05,0.002912278,0.000102708975,6.732531e-05,aluno21
14:38:58-aluno21-2017-06-19-13:39:55.png,0.215655535,0.7829002,0.000155427377,1.64883186e-05,0.0001491299,0.0006534495,3.73029252e-05,0.000432453584,aluno21
14:39:06-aluno21-2017-06-19-13:40:11.png,0.0185891129,0.9471592,0.01919885,1.36530343e-05,3.59688274e-05,0.014794522,0.000119934171,8.879561e-05,aluno21
14:39:10-aluno21-2017-06-19-13:40:21.png,0.005927943,0.9649874,0.007136662,3.1619627e-06,5.788085e-06,0.021832874,6.09832277e-05,4.518467e-05,aluno21
14:39:20-aluno21-2017-06-19-13:40:36.png,0.0125778494,0.870807,0.0165457334,1.14226632e-05,1.93018022e-05,0.0995700359,0.0003281427,0.000140543576,aluno21
14:39:26-aluno21-2017-06-19-13:40:24.png,0.0261527225,0.8921408,0.0591456965,0.000103770806,0.000173562454,0.020468276,0.000596190162,0.00121895433,aluno21
14:39:30-aluno21-2017-06-19-13:40:47.png,0.0354917534,0.8318218,0.03060304,0.0002640586,0.000386742468,0.09685012,0.00312729925,0.00145520747,aluno21
