photo,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,student
13:39:38-aluno1-2017-06-19-13:40:08.png,0.00142642588,0.6795344,9.847558e-05,4.09203349e-05,0.000292852084,0.3090609,0.008226672,0.001319344,aluno1
13:40:16-aluno1-2017-06-19-13:43:02.png,0.08893476,0.830765545,0.010406727,0.000468190847,0.0005044653,0.06437214,0.00370778516,0.0008403896,aluno1
13:40:18-aluno1-2017-06-19-13:41:34.png,0.5654438,0.241240367,0.00356274517,0.009840771,0.00144020841,0.08362701,0.03900052,0.0558445677,aluno1
13:40:20-aluno1-2017-06-19-13:43:21.png,0.3478816,0.6107003,0.014292391,0.0002969297,7.847651e-05,0.0205837321,0.00533031672,0.0008362633,aluno1
13:40:22-aluno1-2017-06-19-13:43:13.png,0.662920535,0.332414538,0.00163587776,2.3152732e-05,4.157934e-06,0.00235128286,0.0006391117,1.1369897e-05,aluno1
13:40:26-aluno1-2017-06-19-13:41:41.png,0.0486781672,0.418116271,0.016782647,0.0116496608,0.003667683,0.4421424,0.0505658053,0.008397388,aluno1
13:41:34-aluno1-2017-06-19-13:43:53.png,0.04886708,0.949227154,0.000286479684,5.3564112e-05,0.000229139812,0.0004098227,1.71656338e-05,0.000909578346,aluno1
13:41:36-aluno1-2017-06-19-13:45:45.png,0.0905885,0.7627193,0.00376712717,0.006298669,0.000451789965,0.121819615,0.00210686447,0.0122481454,aluno1
13:41:40-aluno1-2017-06-19-13:45:47.png,0.0320089832,0.8654587,0.0003221155,0.0006775507,0.00294278376,0.09390923,0.003179463,0.00150112167,aluno1
13:41:48-aluno1-2017-06-19-13:46:12.png,0.128782839,0.8362388,0.0122147761,0.0001953996,9.995542e-05,0.016187584,0.006091389,0.000189256345,aluno1
13:41:50-aluno1-2017-06-19-13:43:58.png,0.150842935,0.8351486,0.000794600637,0.000413188245,0.00103648508,0.010009842,0.000941185048,0.0008131866,aluno1
13:42:26-aluno1-2017-06-19-13:45:40.png,0.164367765,0.776249945,0.001129864,8.842254e-05,8.94479454e-05,0.0516364835,0.00429152232,0.00214657863,aluno1
13:42:28-aluno1-2017-06-19-13:45:50.png,0.2623449,0.6984125,0.000448108767,2.293609e-05,1.49013313e-05,0.03435032,0.00350869144,0.000897687569,aluno1
13:42:30-aluno1-2017-06-19-13:51:39.png,0.318383634,0.6731279,0.0008537448,7.88100951e-05,4.95200948e-05,0.00582902553,0.000887393544,0.0007899961,aluno1
13:42:32-aluno1-2017-06-19-13:47:23.png,0.447173446,0.542261839,0.00222697924,9.936684e-05,4.4329714e-05,0.00634294236,0.00124849565,0.000602633168,aluno1
13:42:56-aluno1-2017-06-19-13:45:35.png,0.106624365,0.7835692,0.00577021856,0.008422484,0.0102737127,0.04835226,0.0341966264,0.00279108831,aluno1
13:43:58-aluno1-2017-06-19-13:46:16.png,0.282219172,0.7096065,0.0007013811,2.907163e-05,1.86513589e-05,0.006582036,0.0002932795,0.000549856049,aluno1
13:44:00-aluno1-2017-06-19-13:46:26.png,0.372375757,0.6072578,0.00198048865,9.058267e-05,6.459565e-05,0.0117939217,0.00578006636,0.000656825432,aluno1
13:44:02-aluno1-2017-06-19-13:46:24.png,0.381367266,0.602322042,0.004562323,0.000229926329,0.0001887686,0.007500666,0.0027104232,0.00111859886,aluno1
13:44:04-aluno1-2017-06-19-13:46:37.png,0.411236942,0.5080428,0.003947765,0.000444599456,0.000337934878,0.05674444,0.0178724676,0.00137303281,aluno1
13:44:06-aluno1-2017-06-19-13:46:48.png,0.210969582,0.7749914,0.00176570821,3.70316448e-05,5.876787e-05,0.0100189038,0.002044994,0.000113623828,aluno1
13:44:16-aluno1-2017-06-19-13:46:39.png,0.223854646,0.6482337,0.0005224855,0.000164179874,0.0009786352,0.116389163,0.007577391,0.00227978034,aluno1
13:44:38-aluno1-2017-06-19-13:51:00.png,0.36772114,0.495785534,0.0002168937,4.2920652e-05,0.00010182913,0.130642459,0.00531317666,0.000176065136,aluno1
13:44:42-aluno1-2017-06-19-13:47:06.png,0.0160315372,0.9806586,0.000376751,1.37293327e-05,8.43126e-05,0.00268390542,0.000100831443,5.03426672e-05,aluno1
13:44:44-aluno1-2017-06-19-13:49:59.png,0.1288444,0.863269567,0.006107235,6.853758e-05,5.31706428e-05,0.00032762374,9.234634e-06,0.00132022554,aluno1
13:44:46-aluno1-2017-06-19-13:50:10.png,0.0604088865,0.8901351,0.003776495,0.000195946923,0.0005752427,0.0418274552,0.002330264,0.0007506114,aluno1
13:44:56-aluno1-2017-06-19-13:51:01.png,0.217147335,0.5383461,0.00247252779,0.00108014361,0.00032948365,0.218571156,0.02022765,0.00182557548,aluno1
13:45:38-aluno1-2017-06-19-13:48:12.png,0.00685342634,0.424152076,0.00239189039,0.00143458066,0.00143352617,0.547708154,0.00327021815,0.0127561335,aluno1
13:45:42-aluno1-2017-06-19-13:48:30.png,0.00372294243,0.694548965,0.02220654,0.000770986837,0.0006317029,0.004638162,0.000149676431,0.273331016,aluno1
